Kd_prov,Provinsi,Jumlah_Jembatan,Total_Panjang
11,Aceh,1,210
12,Sumatera Utara,0,0
13,Sumatera Barat,1,0
14,Riau,3,398
15,Jambi,1,0
16,Sumatera Selatan,5,1724
17,Bengkulu,0,0
18,Lampung,0,0
19,Kepulauan Bangka Belitung,1,198
21,Kepulauan Riau,6,2262
31,DKI Jakarta,0,0
32,Jawa Barat,2,3028
33,Jawa Tengah,2,219
34,D.I. Yogyakarta,3,224
35,Jawa Timur,5,5566
36,Banten,0,0
51,Bali,1,180
52,Nusa Tenggara Barat,1,240
53,Nusa Tenggara Timur,0,0
61,Kalimantan Barat,2,0
62,Kalimantan Tengah,1,0
63,Kalimantan Selatan,2,1833
64,Kalimantan Timur,2,1249
65,Kalimantan Utara,0,0
71,Sulawesi Utara,1,372
72,Sulawesi Tengah,0,0
73,Sulawesi Selatan,1,0
74,Sulawesi Tenggara,0,0
75,Gorontalo,1,0
76,Sulawesi Barat,0,0
81,Maluku,2,1653
82,Maluku Utara,1,0
91,Papua Barat,1,132
94,Papua,2,827
xxx,Indonesia,,
